_time,_measurement,host,location,room,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,humidity,light,mic,temperature,is_moving
2025-11-25 00:10:46.603000+00:00,corso_IoT,ESP_LEOPIZZI,Lecce,Stanza,0.048,-0.0625,1.0125,1.376,0.7259999999999998,0.562,70.77499999999998,0.0,33.35,17.060000000000002,0
2025-11-25 00:11:54.936000+00:00,corso_IoT,ESP_LEOPIZZI,Lecce,Stanza,0.0481818181818181,-0.0614545454545454,1.014909090909092,1.3834545454545453,0.627090909090909,0.5087272727272728,70.00545454545458,0.0,38.98181818181818,17.192727272727282,0
2025-11-25 00:13:03.269000+00:00,corso_IoT,ESP_LEOPIZZI,Lecce,Stanza,-0.0656521739130434,0.0698550724637681,0.983768115942028,1.384057971014493,0.641159420289855,0.5169565217391303,69.36811594202901,0.0,32.072463768115945,17.344927536231886,0
2025-11-25 00:14:11.602000+00:00,corso_IoT,ESP_LEOPIZZI,Lecce,Stanza,-0.0671739130434782,0.0778260869565217,0.9795652173913036,1.375,0.6982608695652175,0.5102173913043478,68.97173913043484,0.0,29.39130434782609,17.441304347826083,0
2025-11-25 00:15:19.935000+00:00,corso_IoT,ESP_LEOPIZZI,Lecce,Stanza,-0.0663768115942028,0.0788405797101449,0.9788405797101438,1.3975362318840578,0.637536231884058,0.5110144927536233,68.5898550724637,0.0,29.130434782608692,17.5,0
2025-11-25 00:16:28.268000+00:00,corso_IoT,ESP_LEOPIZZI,Lecce,Stanza,-0.0632075471698113,0.0786792452830189,0.9779245283018856,1.3779245283018868,0.6384905660377358,0.488867924528302,68.22075471698109,0.0,30.264150943396228,17.571698113207564,0
2025-11-25 00:17:36.601000+00:00,corso_IoT,ESP_LEOPIZZI,Lecce,Stanza,-0.0612987012987012,0.0796103896103896,0.9787012987012982,1.370649350649351,0.5858441558441557,0.4944155844155844,67.9324675324675,0.0,31.857142857142858,17.599999999999987,0
2025-11-25 00:18:44.934000+00:00,corso_IoT,ESP_LEOPIZZI,Lecce,Stanza,-0.0606153846153846,0.0793846153846154,0.9781538461538448,1.3889230769230767,0.6321538461538461,0.4915384615384616,67.76615384615374,0.0,28.907692307692308,17.658461538461562,0
2025-11-25 00:19:53.267000+00:00,corso_IoT,ESP_LEOPIZZI,Lecce,Stanza,-0.0612048192771083,0.0792771084337349,0.9784337349397588,1.3945783132530123,0.604698795180723,0.4804819277108434,67.61445783132528,0.0,28.91566265060241,17.700000000000028,0
2025-11-25 00:21:01.600000+00:00,corso_IoT,ESP_LEOPIZZI,Lecce,Stanza,-0.0610975609756097,0.0797560975609756,0.9771951219512192,1.4147560975609748,0.6292682926829268,0.4893902439024389,67.31585365853664,0.0,23.76829268292683,17.782926829268266,0
2025-11-25 00:22:09.933000+00:00,corso_IoT,ESP_LEOPIZZI,Lecce,Stanza,-0.0607017543859649,0.08,0.9771929824561394,1.3991228070175434,0.6201754385964913,0.4752631578947368,67.1964912280701,0.0,22.68421052631579,17.79999999999998,0
2025-11-25 00:23:18.266000+00:00,corso_IoT,ESP_LEOPIZZI,Lecce,Stanza,-0.0604109589041095,0.0795890410958904,0.977123287671232,1.381643835616438,0.6394520547945204,0.5041095890410959,67.03150684931506,0.0,24.17808219178082,17.86027397260275,0
2025-11-25 00:24:26.599000+00:00,corso_IoT,ESP_LEOPIZZI,Lecce,Stanza,-0.0601369863013698,0.0798630136986301,0.9765753424657524,1.3884931506849314,0.6431506849315068,0.4665753424657534,66.85753424657545,0.0,21.493150684931507,17.900000000000006,0
2025-11-25 00:25:34.932000+00:00,corso_IoT,ESP_LEOPIZZI,Lecce,Stanza,-0.0601176470588234,0.0803529411764706,0.9762352941176466,1.3662352941176468,0.6254117647058821,0.4698823529411765,66.70705882352935,0.0,29.788235294117648,17.90000000000002,0
2025-11-25 00:26:43.265000+00:00,corso_IoT,ESP_LEOPIZZI,Lecce,Stanza,-0.0604918032786885,0.0801639344262295,0.9755737704918024,1.3724590163934431,0.5885245901639344,0.450327868852459,66.61967213114751,0.0,30.704918032786885,17.89999999999999,0
2025-11-25 00:27:51.598000+00:00,corso_IoT,ESP_LEOPIZZI,Lecce,Stanza,-0.0603571428571428,0.0798809523809524,0.9747619047619044,1.3713095238095234,0.6060714285714283,0.4835714285714284,66.49166666666663,0.0,24.55952380952381,17.903571428571443,0
2025-11-25 00:28:59.931000+00:00,corso_IoT,ESP_LEOPIZZI,Lecce,Stanza,-0.06,0.08,0.9741333333333326,1.3940000000000003,0.6122666666666667,0.4978666666666668,66.39999999999999,0.0,26.68,17.981333333333332,0
2025-11-25 00:30:08.264000+00:00,corso_IoT,ESP_LEOPIZZI,Lecce,Stanza,-0.0598809523809523,0.08,0.9749999999999996,1.3663095238095235,0.6413095238095239,0.4632142857142857,66.32619047619059,0.0,23.38095238095238,18.0,0
2025-11-25 00:31:16.597000+00:00,corso_IoT,ESP_LEOPIZZI,Lecce,Stanza,-0.0596249999999999,0.0805,0.9748749999999994,1.4165,0.6135000000000003,0.4726249999999997,66.21374999999992,0.0,22.9125,18.0,0
2025-11-25 00:32:24.930000+00:00,corso_IoT,ESP_LEOPIZZI,Lecce,Stanza,-0.0598550724637681,0.08,0.973768115942028,1.399275362318841,0.5965217391304348,0.4615942028985508,66.15942028985502,0.0,21.6231884057971,18.017391304347814,0
2025-11-25 00:33:33.263000+00:00,corso_IoT,ESP_LEOPIZZI,Lecce,Stanza,-0.0597727272727272,0.0803409090909091,0.9724999999999994,1.3601136363636368,0.6088636363636364,0.4589772727272725,66.05681818181814,0.0,24.022727272727277,18.02954545454544,0
2025-11-25 00:34:41.596000+00:00,corso_IoT,ESP_LEOPIZZI,Lecce,Stanza,-0.0596385542168674,0.0803614457831325,0.9739759036144572,1.3650602409638553,0.6137349397590361,0.4469879518072291,65.89759036144576,0.0,24.89156626506024,18.098795180722878,0
2025-11-25 00:35:49.929000+00:00,corso_IoT,ESP_LEOPIZZI,Lecce,Stanza,-0.058780487804878,0.0797560975609756,0.9743902439024388,1.4099999999999997,0.6180487804878051,0.4717073170731708,65.79268292682924,0.0,24.70731707317073,18.10000000000001,0
2025-11-25 00:36:58.262000+00:00,corso_IoT,ESP_LEOPIZZI,Lecce,Stanza,-0.0590625,0.08,0.9724999999999998,1.3771875,0.57625,0.4337499999999999,65.68437500000002,0.0,29.5,18.10000000000001,0
2025-11-25 00:38:06.595000+00:00,corso_IoT,ESP_LEOPIZZI,Lecce,Stanza,-0.0594871794871794,0.0803846153846154,0.9729487179487174,1.3938461538461535,0.623974358974359,0.471153846153846,65.60641025641029,0.0,29.55128205128205,18.099999999999984,0
2025-11-25 00:39:14.928000+00:00,corso_IoT,ESP_LEOPIZZI,Lecce,Stanza,-0.0594520547945205,0.0806849315068493,0.9738356164383556,1.35972602739726,0.6398630136986301,0.4467123287671233,65.53013698630137,0.0,27.47945205479452,18.09999999999999,0
2025-11-25 00:40:23.261000+00:00,corso_IoT,ESP_LEOPIZZI,Lecce,Stanza,-0.0594915254237288,0.0803389830508475,0.974237288135592,1.376440677966102,0.550677966101695,0.4479661016949152,65.49152542372882,0.0,23.59322033898305,18.10000000000001,0
2025-11-25 00:41:31.594000+00:00,corso_IoT,ESP_LEOPIZZI,Lecce,Stanza,-0.0596296296296295,0.0802469135802469,0.9727160493827152,1.3879012345679012,0.5879012345679011,0.4595061728395062,65.39999999999996,0.0,24.234567901234566,18.099999999999984,0
2025-11-25 00:42:39.927000+00:00,corso_IoT,ESP_LEOPIZZI,Lecce,Stanza,-0.0597435897435897,0.0802564102564103,0.9725641025641016,1.3682051282051282,0.585,0.4756410256410254,65.39871794871793,0.0,24.628205128205128,18.099999999999984,0
2025-11-25 00:43:48.260000+00:00,corso_IoT,ESP_LEOPIZZI,Lecce,Stanza,-0.0598809523809523,0.08,0.972261904761904,1.399880952380952,0.6223809523809525,0.4635714285714288,65.3000000000001,0.0,23.071428571428573,18.09999999999998,0
2025-11-25 00:44:56.593000+00:00,corso_IoT,ESP_LEOPIZZI,Lecce,Stanza,-0.0598809523809523,0.0804761904761905,0.9730952380952376,1.3897619047619043,0.6069047619047618,0.4520238095238097,65.3000000000001,0.0,21.678571428571427,18.09999999999998,0
2025-11-25 00:46:04.926000+00:00,corso_IoT,ESP_LEOPIZZI,Lecce,Stanza,-0.0594871794871794,0.0801282051282051,0.972564102564102,1.3915384615384612,0.5985897435897437,0.4596153846153846,65.24230769230772,0.0,20.371794871794872,18.099999999999984,0
2025-11-25 00:47:13.259000+00:00,corso_IoT,ESP_LEOPIZZI,Lecce,Stanza,-0.0598809523809523,0.0803571428571429,0.972857142857142,1.3592857142857144,0.6035714285714288,0.4763095238095239,65.26190476190473,0.0,29.547619047619047,18.09999999999998,0
2025-11-25 00:48:21.592000+00:00,corso_IoT,ESP_LEOPIZZI,Lecce,Stanza,-0.0595402298850574,0.0804597701149425,0.9726436781609188,1.3872413793103446,0.5603448275862067,0.4428735632183907,65.1999999999999,0.0,21.67816091954023,18.099999999999977,0
2025-11-25 00:49:29.925000+00:00,corso_IoT,ESP_LEOPIZZI,Lecce,Stanza,-0.0601204819277108,0.0803614457831325,0.9722891566265056,1.3836144578313248,0.576867469879518,0.4331325301204818,65.1999999999999,0.0,22.14457831325301,18.09999999999998,0
2025-11-25 00:50:38.258000+00:00,corso_IoT,ESP_LEOPIZZI,Lecce,Stanza,-0.0601282051282051,0.0802564102564103,0.9733333333333324,1.388589743589744,0.5639743589743591,0.4411538461538462,65.1910256410256,0.0,22.03846153846154,18.150000000000027,0
2025-11-25 00:51:46.591000+00:00,corso_IoT,ESP_LEOPIZZI,Lecce,Stanza,-0.0599999999999999,0.0808235294117647,0.9718823529411758,1.340235294117647,0.5735294117647061,0.4548235294117648,65.0635294117647,0.0,23.28235294117647,18.185882352941185,0
2025-11-25 00:52:54.924000+00:00,corso_IoT,ESP_LEOPIZZI,Lecce,Stanza,-0.0607894736842105,0.0807894736842105,0.9705263157894732,1.3752631578947363,0.5436842105263159,0.4726315789473685,65.05789473684207,0.0,34.55263157894737,18.200000000000006,0
2025-11-25 00:54:03.257000+00:00,corso_IoT,ESP_LEOPIZZI,Lecce,Stanza,-0.0594444444444444,0.0808333333333333,0.9724999999999996,1.3697222222222216,0.5713888888888888,0.4536111111111112,65.0,0.0,37.72222222222222,18.200000000000003,0
2025-11-25 00:55:11.590000+00:00,corso_IoT,ESP_LEOPIZZI,Lecce,Stanza,-0.0599999999999999,0.0805952380952381,0.9727380952380948,1.353095238095238,0.5860714285714286,0.4428571428571431,64.97380952380945,0.0,27.857142857142858,18.200000000000028,0
2025-11-25 00:56:19.923000+00:00,corso_IoT,ESP_LEOPIZZI,Lecce,Stanza,-0.0599999999999999,0.0807058823529412,0.9714117647058816,1.3701176470588232,0.584,0.440470588235294,64.90352941176468,0.0,32.258823529411764,18.19647058823532,0
2025-11-25 00:57:28.256000+00:00,corso_IoT,ESP_LEOPIZZI,Lecce,Stanza,-0.0604347826086956,0.0801449275362319,0.9721739130434776,1.3705797101449273,0.5495652173913043,0.4575362318840579,64.90000000000003,0.0,22.98550724637681,18.200000000000024,0
2025-11-25 00:58:36.589000+00:00,corso_IoT,ESP_LEOPIZZI,Lecce,Stanza,-0.060281690140845,0.0812676056338028,0.9723943661971824,1.3481690140845075,0.5390140845070421,0.4443661971830985,64.90000000000002,0.0,24.183098591549296,18.200000000000024,0
