_time,_measurement,host,location,room,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,humidity,is_moving,light,mic,temperature
2025-11-07T00:20:20Z,corso_IoT,ESP_LEOPIZZI,Lecce,Stanza,0.1338709677419354,0.022258064516129,1.0325806451612909,0.224516129032258,0.2716129032258064,0.0012903225806451,59.79999999999997,0.0,0.0,13.258064516129032,21.0
2025-11-07T00:21:17.5Z,corso_IoT,ESP_LEOPIZZI,Lecce,Stanza,0.1338823529411766,0.022235294117647,1.033529411764707,0.2821176470588236,0.2907058823529412,0.0074117647058823,59.68352941176472,0.0,0.0,13.070588235294116,21.037647058823502
2025-11-07T00:22:15Z,corso_IoT,ESP_LEOPIZZI,Lecce,Stanza,0.1338372093023257,0.0223255813953488,1.0325581395348846,0.2846511627906976,0.3365116279069766,-0.0063953488372093,59.50813953488372,0.0,0.0,13.930232558139537,21.09999999999997
2025-11-07T00:23:12.5Z,corso_IoT,ESP_LEOPIZZI,Lecce,Stanza,0.1335632183908047,0.0225287356321839,1.033103448275863,0.297471264367816,0.2910344827586206,-0.0367816091954022,59.41609195402297,0.0,0.0,11.413793103448276,21.11609195402298
2025-11-07T00:24:10Z,corso_IoT,ESP_LEOPIZZI,Lecce,Stanza,0.1324418604651164,0.0220930232558139,1.0336046511627917,0.3101162790697673,0.3446511627906975,0.0040697674418604,59.32906976744197,0.0,0.0,12.790697674418604,21.20000000000003
2025-11-07T00:25:07.5Z,corso_IoT,ESP_LEOPIZZI,Lecce,Stanza,0.1324719101123597,0.0228089887640449,1.0341573033707878,0.2729213483146067,0.3259550561797752,-0.0105617977528089,59.22696629213472,0.0,0.0,11.640449438202246,21.20000000000003
2025-11-07T00:26:05Z,corso_IoT,ESP_LEOPIZZI,Lecce,Stanza,0.1316867469879519,0.0216867469879518,1.033734939759037,0.304578313253012,0.2853012048192772,-0.0097590361445783,59.149397590361474,0.0,0.0,14.301204819277109,21.200000000000028
2025-11-07T00:27:02.5Z,corso_IoT,ESP_LEOPIZZI,Lecce,Stanza,0.1328048780487806,0.0226829268292683,1.0339024390243914,0.2853658536585365,0.2986585365853658,-0.0448780487804878,59.04390243902437,0.0,0.0,12.292682926829269,21.25609756097559
2025-11-07T00:28:00Z,corso_IoT,ESP_LEOPIZZI,Lecce,Stanza,0.1322972972972973,0.0224324324324324,1.033243243243244,0.2983783783783785,0.2887837837837837,-0.0097297297297297,58.91756756756761,0.0,0.0,15.27027027027027,21.29999999999997
2025-11-07T00:28:57.5Z,corso_IoT,ESP_LEOPIZZI,Lecce,Stanza,0.1317045454545456,0.0210227272727272,1.0317045454545462,0.2971590909090909,0.3019318181818182,-0.02625,58.83863636363649,0.0,0.0,12.5,21.29999999999997
