_time,_measurement,host,location,room,humidity,is_moving,light,mic,temperature
2025-09-18T00:56:00Z,corso_IoT,ESP_LEOPIZZI,Lecce,Stanza,57.39999999999994,4.022988505747127,0.0,16.03448275862069,26.885057471264364
2025-09-18T00:57:10Z,corso_IoT,ESP_LEOPIZZI,Lecce,Stanza,56.55585585585583,11.26126126126126,0.0,15.45045045045045,27.279279279279308
2025-09-18T00:58:20Z,corso_IoT,ESP_LEOPIZZI,Lecce,Stanza,55.96037735849056,3.30188679245283,0.0,15.566037735849056,27.537735849056567
2025-09-18T00:59:30Z,corso_IoT,ESP_LEOPIZZI,Lecce,Stanza,55.43300970873787,0.0,0.0,14.533980582524272,27.749514563106853
2025-09-18T01:00:40Z,corso_IoT,ESP_LEOPIZZI,Lecce,Stanza,55.04144144144134,0.0,0.0,15.144144144144144,27.90180180180184
2025-09-18T01:01:50Z,corso_IoT,ESP_LEOPIZZI,Lecce,Stanza,54.70442477876114,0.0,0.0,14.831858407079649,28.002654867256638
2025-09-18T01:03:00Z,corso_IoT,ESP_LEOPIZZI,Lecce,Stanza,54.43863636363644,0.5681818181818182,0.0,16.0,28.152272727272717
2025-09-18T01:04:10Z,corso_IoT,ESP_LEOPIZZI,Lecce,Stanza,54.125252525252506,0.0,0.0,15.97979797979798,28.2545454545455
2025-09-18T01:05:20Z,corso_IoT,ESP_LEOPIZZI,Lecce,Stanza,53.9094736842106,0.0,0.0,14.989473684210529,28.36210526315793
2025-09-18T01:06:30Z,corso_IoT,ESP_LEOPIZZI,Lecce,Stanza,53.62192982456138,0.0,0.0,14.780701754385966,28.45350877192983
2025-09-18T01:07:40Z,corso_IoT,ESP_LEOPIZZI,Lecce,Stanza,53.40624999999993,0.0,0.0,14.830357142857142,28.51607142857141
2025-09-18T01:08:50Z,corso_IoT,ESP_LEOPIZZI,Lecce,Stanza,53.22212389380537,0.0,0.0,15.097345132743364,28.599999999999945
2025-09-18T01:10:00Z,corso_IoT,ESP_LEOPIZZI,Lecce,Stanza,52.96754385964901,0.0,0.0,14.912280701754383,28.66754385964906
2025-09-18T01:11:10Z,corso_IoT,ESP_LEOPIZZI,Lecce,Stanza,52.81100917431192,0.4587155963302752,0.0,14.844036697247706,28.744954128440423
2025-09-18T01:12:20Z,corso_IoT,ESP_LEOPIZZI,Lecce,Stanza,52.59122807017546,0.0,0.0,14.763157894736842,28.803508771929867
2025-09-18T01:13:30Z,corso_IoT,ESP_LEOPIZZI,Lecce,Stanza,52.45309734513265,0.0,0.0,14.849557522123892,28.89646017699121
2025-09-18T01:14:40Z,corso_IoT,ESP_LEOPIZZI,Lecce,Stanza,52.2831858407079,0.0,0.0,14.663716814159292,28.954867256637183
2025-09-18T01:15:50Z,corso_IoT,ESP_LEOPIZZI,Lecce,Stanza,52.16140350877194,0.0,0.0,14.850877192982455,29.0
2025-09-18T01:17:00Z,corso_IoT,ESP_LEOPIZZI,Lecce,Stanza,51.95504587155954,0.0,0.0,14.715596330275227,29.059633027522885
2025-09-18T01:18:10Z,corso_IoT,ESP_LEOPIZZI,Lecce,Stanza,51.79911504424776,0.0,0.0,14.72566371681416,29.11061946902651
2025-09-18T01:19:20Z,corso_IoT,ESP_LEOPIZZI,Lecce,Stanza,51.76422018348623,0.0,0.0,14.779816513761467,29.19082568807335
2025-09-18T01:20:30Z,corso_IoT,ESP_LEOPIZZI,Lecce,Stanza,51.65087719298253,0.0,0.0,14.81578947368421,29.20175438596487
2025-09-18T01:21:40Z,corso_IoT,ESP_LEOPIZZI,Lecce,Stanza,51.473214285714185,0.0,0.0,14.875,29.25714285714293
2025-09-18T01:22:50Z,corso_IoT,ESP_LEOPIZZI,Lecce,Stanza,51.39912280701748,0.0,0.0,15.114035087719298,29.30000000000005
2025-09-18T01:24:00Z,corso_IoT,ESP_LEOPIZZI,Lecce,Stanza,51.22035398230077,0.4424778761061947,0.0,14.84070796460177,29.30000000000005
2025-09-18T01:25:10Z,corso_IoT,ESP_LEOPIZZI,Lecce,Stanza,51.07345132743371,0.0,0.0,14.70796460176991,29.30000000000005
2025-09-18T01:26:20Z,corso_IoT,ESP_LEOPIZZI,Lecce,Stanza,51.10000000000006,0.0,0.0,14.833333333333334,29.308771929824605
2025-09-18T01:27:30Z,corso_IoT,ESP_LEOPIZZI,Lecce,Stanza,50.99464285714276,0.4464285714285714,0.0,14.758928571428571,29.38928571428577
2025-09-18T01:28:40Z,corso_IoT,ESP_LEOPIZZI,Lecce,Stanza,50.82894736842112,0.0,0.0,14.570175438596491,29.40000000000006
2025-09-18T01:29:50Z,corso_IoT,ESP_LEOPIZZI,Lecce,Stanza,50.79823008849567,0.0,0.0,14.95575221238938,29.40000000000006
2025-09-18T01:31:00Z,corso_IoT,ESP_LEOPIZZI,Lecce,Stanza,50.65087719298253,0.0,0.0,14.74561403508772,29.44912280701756
2025-09-18T01:32:10Z,corso_IoT,ESP_LEOPIZZI,Lecce,Stanza,50.5,0.0,0.0,14.724770642201834,29.5
2025-09-18T01:33:20Z,corso_IoT,ESP_LEOPIZZI,Lecce,Stanza,50.5,0.0,0.0,14.663716814159292,29.5
2025-09-18T01:34:30Z,corso_IoT,ESP_LEOPIZZI,Lecce,Stanza,50.40181818181817,0.0,0.0,14.88181818181818,29.5
2025-09-18T01:35:40Z,corso_IoT,ESP_LEOPIZZI,Lecce,Stanza,50.31047619047629,0.0,0.0,14.704761904761904,29.5
