_time,_measurement,host,location,room,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,humidity,is_moving,light,mic,temperature
2025-11-15T01:10:58.024Z,corso_IoT,ESP_LEOPIZZI,Lecce,Stanza,0.0001315789473684,0.0,0.9992105263157898,-0.0221052631578947,-0.0281578947368421,-0.0005263157894736,67.8000000000001,0.0,0.0,44.17105263157895,18.700000000000024
2025-11-15T01:11:56.357Z,corso_IoT,ESP_LEOPIZZI,Lecce,Stanza,-0.0001282051282051,0.0001282051282051,1.0007692307692309,-0.0065384615384615,-0.0191025641025641,-0.0065384615384615,67.79230769230777,0.0,0.0,36.24358974358975,18.70769230769233
2025-11-15T01:12:54.69Z,corso_IoT,ESP_LEOPIZZI,Lecce,Stanza,-0.000253164556962,0.000126582278481,1.000253164556962,0.0045569620253164,-0.0488607594936708,0.0158227848101265,67.79620253164566,0.0,0.0,27.37974683544304,18.70379746835445
2025-11-15T01:13:53.023Z,corso_IoT,ESP_LEOPIZZI,Lecce,Stanza,0.0001190476190476,0.0002380952380952,0.9998809523809524,-0.0082142857142857,-0.0604761904761904,-0.0216666666666666,67.77500000000005,0.0,0.0,28.464285714285715,18.72500000000001
2025-11-15T01:14:51.356Z,corso_IoT,ESP_LEOPIZZI,Lecce,Stanza,0.0001176470588235,0.0003529411764705,1.0003529411764704,-0.0008235294117647,-0.0498823529411764,0.0021176470588235,67.72588235294108,0.0,0.0,28.11764705882353,18.7741176470588
2025-11-15T01:15:49.689Z,corso_IoT,ESP_LEOPIZZI,Lecce,Stanza,0.0002298850574712,0.0004597701149425,0.9997701149425288,-0.0017241379310344,-0.0372413793103448,-0.0073563218390804,67.70344827586197,0.0,0.0,23.816091954022987,18.796551724137903
2025-11-15T01:16:48.022Z,corso_IoT,ESP_LEOPIZZI,Lecce,Stanza,0.0,0.0005813953488372,0.9996511627906975,-0.0095348837209302,-0.0016279069767441,0.0054651162790697,67.71279069767436,0.0,0.0,24.709302325581397,18.726744186046545
2025-11-15T01:17:46.355Z,corso_IoT,ESP_LEOPIZZI,Lecce,Stanza,0.0,0.0002325581395348,0.998953488372093,0.0169767441860465,-0.0598837209302325,-0.0165116279069767,67.79651162790708,0.0,0.0,22.837209302325583,18.700000000000028
2025-11-15T01:18:44.688Z,corso_IoT,ESP_LEOPIZZI,Lecce,Stanza,0.0,0.0005555555555555,0.9989999999999998,0.0168888888888888,-0.0382222222222222,-0.0272222222222222,67.80000000000011,0.0,0.0,21.711111111111112,18.700000000000028
2025-11-15T01:19:43.021Z,corso_IoT,ESP_LEOPIZZI,Lecce,Stanza,0.0,0.0004545454545454,1.0,0.0218181818181818,-0.0488636363636363,-0.0027272727272727,67.80000000000011,0.0,0.0,18.079545454545453,18.700000000000028
