_time,_measurement,host,location,room,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,humidity,is_moving,light,mic,temperature
2025-11-12T00:10:48Z,corso_IoT,ESP_LEOPIZZI,Lecce,Stanza,-0.1041176470588235,0.0078431372549019,1.0054901960784317,-0.1243137254901961,-0.4933333333333331,-0.0499999999999999,66.88235294117642,4.901960784313726,0.8331372549019608,21.94117647058824,19.56470588235295
2025-11-12T00:12:00Z,corso_IoT,ESP_LEOPIZZI,Lecce,Stanza,0.0130681818181818,0.007840909090909,1.0089772727272728,0.1967045454545454,-0.044090909090909,-0.0035227272727272,66.27727272727267,2.272727272727273,0.0,21.977272727272727,20.06136363636366
2025-11-12T00:13:12Z,corso_IoT,ESP_LEOPIZZI,Lecce,Stanza,-0.0017391304347826,0.0008695652173913,0.9989855072463768,0.0250724637681159,0.0363768115942029,0.0189855072463768,64.50000000000004,0.0,0.0,21.3768115942029,20.28985507246374
2025-11-12T00:14:24Z,corso_IoT,ESP_LEOPIZZI,Lecce,Stanza,0.0,0.0006349206349206,0.9998412698412698,0.0112698412698412,-0.0147619047619047,0.0244444444444444,63.88730158730158,0.0,0.0,18.984126984126984,20.330158730158736
2025-11-12T00:15:36Z,corso_IoT,ESP_LEOPIZZI,Lecce,Stanza,-0.000253164556962,0.000126582278481,1.0,-0.0130379746835443,0.000126582278481,-0.0035443037974683,63.54556962025315,0.0,0.0,17.89873417721519,20.400000000000023
2025-11-12T00:16:48Z,corso_IoT,ESP_LEOPIZZI,Lecce,Stanza,-0.0002,0.0002,0.9998,-0.0317999999999999,0.0016,0.0141999999999999,63.36000000000006,0.0,0.0,21.58,20.399999999999984
2025-11-12T00:18:00Z,corso_IoT,ESP_LEOPIZZI,Lecce,Stanza,0.0,0.0,0.9997826086956522,-0.0208695652173913,-0.0156521739130434,0.0004347826086956,63.27391304347826,0.0,0.0,15.108695652173912,20.399999999999984
2025-11-12T00:19:12Z,corso_IoT,ESP_LEOPIZZI,Lecce,Stanza,0.0004255319148936,0.0002127659574468,1.0017021276595743,-0.0042553191489361,0.0006382978723404,0.0057446808510638,62.92553191489367,0.0,0.0,15.829787234042554,20.49148936170213
2025-11-12T00:20:24Z,corso_IoT,ESP_LEOPIZZI,Lecce,Stanza,0.0006837606837606,0.0002564102564102,0.9996581196581196,0.0094871794871794,-0.0176923076923076,-0.0339316239316239,62.79743589743594,0.0,0.0,15.649572649572647,20.5
2025-11-12T00:21:36Z,corso_IoT,ESP_LEOPIZZI,Lecce,Stanza,0.0013274336283185,0.0005309734513274,0.9992035398230088,0.0361946902654867,-0.0142477876106194,-0.0163716814159292,62.65840707964607,0.0,0.0,13.95575221238938,20.508849557522115
2025-11-12T00:22:48Z,corso_IoT,ESP_LEOPIZZI,Lecce,Stanza,0.0018181818181818,0.0001010101010101,1.0,0.0509090909090909,-0.0196969696969696,0.0122222222222222,62.54141414141407,0.0,0.0,13.868686868686869,20.53434343434341
2025-11-12T00:24:00Z,corso_IoT,ESP_LEOPIZZI,Lecce,Stanza,0.0026086956521739,0.0003260869565217,0.9982608695652172,0.0327173913043478,-0.0065217391304347,-0.038695652173913,62.31630434782619,0.0,0.0,14.858695652173912,20.59673913043475
2025-11-12T00:25:12Z,corso_IoT,ESP_LEOPIZZI,Lecce,Stanza,0.0025,0.0008333333333333,0.9991666666666664,0.0249999999999999,-0.0508333333333333,-0.0346874999999999,62.23229166666653,0.0,0.0,12.8125,20.59999999999996
